serv no,wmc,dit,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,amc
3308,0.368396,0.106387,0.273986,0.335218,0.580647,0.374914,0.38903,0.372467,0.368507,0.334904,0,0,0,0.205655,0.054682
3310,0.126728,0.236416,0.083159,0.104651,0.201837,0.176223,0.118417,0.127627,0.429261,0.124246,0,0,0,0.506385,0.075833
3311,0.222105,0.078402,0.293408,0.218287,0.453581,0.287357,0.410441,0.222541,0.270376,0.215989,0,0.057549819,0,0.26005,0.034577
3313,0.185843,0.144945,0.151711,0.160233,0.343639,0.227946,0.263554,0.189581,0.36812,0.165193,0,0,0,0.451097,0.058948
3314,0.09446,0.082193,0.296226,0.124018,0.294725,0.266051,0.400896,0.090428,0.213503,0.086258,0,0.139327045,0,0.310089,0.054026
3315,0.186518,0.100698,0.217157,0.170546,0.305419,0.286454,0.375277,0.188378,0.293392,0.170585,0,0,0,0.70749,0.046084
3318,0.28987,0.167548,0.159414,0.254276,0.353094,0.171349,0.225551,0.295175,0.306001,0.240662,0,0,0,0.317878,0.065357
3319,0.128769,0.112623,0.227084,0.128545,0.29251,0.184935,0.317021,0.126753,0.260596,0.113932,0,0.058891518,0,0.314377,0.062667
3320,0.12313,0.119488,0.200354,0.120733,0.273506,0.136445,0.265697,0.121825,0.233684,0.106197,0,0.086482845,0,0.515698,0.06594
3523,0.101222,0.261423,0.05317,0.116922,0.172904,0.188656,0.073245,0.075163,0.643393,0.195527,0,0,0,0.308271,0.086188
3526,0.088369,0.248404,0.232653,0.105303,0.259656,0.455053,0.415416,0.094224,0.389263,0.114525,0.164271,0.400780898,0.423157,0.430969,0.285829
3527,0.125194,0.155548,0.16333,0.110886,0.257691,0.313379,0.252518,0.122339,0.50984,0.13106,0,0,0,0.663389,0.065997
3528,0.059133,0.376596,0.084636,0.067708,0.087766,0.140592,0.122284,0.051276,0.572598,0.145479,0.37072,0.257228513,0.493252,0.576837,0.238096
3551,0.057815,0.376596,0.084636,0.071188,0.09226,0.140592,0.122284,0.046704,0.59143,0.15369,0.37072,0.257228513,0.493252,0.488767,0.238527
3552,0.113067,0.181228,0.108351,0.091089,0.257906,0.328678,0.192903,0.110541,0.439585,0.109832,0,0,0,0.67608,0.058753
3665,0.161884,0.261423,0.05317,0.124832,0.255364,0.188656,0.073245,0.173205,0.517193,0.146218,0,0,0,0.577349,0.081859
3667,0.37059,0.057993,0.423659,0.35306,0.65791,0.459084,0.588575,0.371621,0.546554,0.363323,0,0,0,0.376674,0.039622
3668,0.121835,0.090697,0.247955,0.144024,0.309392,0.27864,0.412187,0.117514,0.368351,0.125137,0,0,0,0.533847,0.064976
3671,0.090727,0.144945,0.199985,0.117851,0.222287,0.233287,0.277482,0.081585,0.549113,0.135994,0,0,0,0.464922,0.072681
3676,0.08261,0.119488,0.277996,0.084935,0.16504,0.405516,0.377082,0.081256,0.342147,0.074164,0,0,0,0.229297,0.058393
3691,0.088174,0.106387,0.368113,0.106728,0.200783,0.08567,0.383245,0.085975,0.646726,0.093816,0,0,0,0.14365,0.056711
3692,0.131664,0.256963,0.391397,0.164873,0.448549,0.357723,0.589758,0.138346,0.493199,0.151474,0.195788,0.356979605,0.318764,0.393785,0.233875
3708,0.15296,0.106387,0.226355,0.132277,0.289693,0.227935,0.363616,0.153797,0.403814,0.126013,0,0.043891372,0,0.593879,0.070066
3714,0.054891,0.167548,0.263213,0.08059,0.128482,0,0.175328,0.046358,0.679782,0.114521,0,0,0,0.198256,0.065246
3753,0.155899,0.181228,0.146568,0.126633,0.320117,0.094282,0.172835,0.161496,0.316197,0.128337,0,0.344315085,0,0.496731,0.064048
3754,0.111995,0.236416,0.077064,0.085929,0.180051,0.151174,0.113626,0.118733,0.419631,0.098093,0,0,0,0.326029,0.077482
3755,0.273944,0.230778,0.404322,0.253712,0.548036,0.313171,0.642562,0.285816,0.000443,0.233463,0.266434,0.657426459,0.253165,0.975691,0.416401
3756,0.049896,0.344366,0.067711,0.054098,0.040814,0.15053,0.100743,0.050045,0.402368,0.089118,0.218168,0.312751515,0.537066,0.596236,0.207964
3757,0.285092,0.144945,0.399464,0.278537,0.617806,0.395695,0.605082,0.291587,0.404512,0.271788,0.145344,0.639561716,0.493252,0.300621,0.328216
